Step 2101 | NS=0.00 EW=0.18 Imb=0.41 Action=1
Step 2102 | NS=0.00 EW=0.17 Imb=0.42 Action=1
Step 2103 | NS=0.00 EW=0.15 Imb=0.43 Action=1
Step 2104 | NS=0.02 EW=0.13 Imb=0.44 Action=1
Step 2105 | NS=0.02 EW=0.10 Imb=0.46 Action=1
Step 2106 | NS=0.02 EW=0.07 Imb=0.47 Action=1
Step 2107 | NS=0.02 EW=0.03 Imb=0.49 Action=0
Step 2108 | NS=0.02 EW=0.00 Imb=0.51 Action=0
Step 2109 | NS=0.02 EW=0.02 Imb=0.50 Action=0
Step 2110 | NS=0.00 EW=0.02 Imb=0.49 Action=0
Step 2111 | NS=0.00 EW=0.03 Imb=0.48 Action=0
Step 2112 | NS=0.00 EW=0.05 Imb=0.47 Action=0
Step 2113 | NS=0.00 EW=0.07 Imb=0.47 Action=0
Step 2114 | NS=0.00 EW=0.07 Imb=0.47 Action=1
Step 2115 | NS=0.00 EW=0.08 Imb=0.46 Action=1
Step 2116 | NS=0.00 EW=0.13 Imb=0.43 Action=1
Step 2117 | NS=0.00 EW=0.15 Imb=0.43 Action=1
Step 2118 | NS=0.00 EW=0.17 Imb=0.42 Action=1
Step 2119 | NS=0.00 EW=0.18 Imb=0.41 Action=1
Step 2120 | NS=0.00 EW=0.20 Imb=0.40 Action=0
Step 2121 | NS=0.00 EW=0.23 Imb=0.38 Action=1
Step 2122 | NS=0.00 EW=0.23 Imb=0.38 Action=1
Step 2123 | NS=0.00 EW=0.25 Imb=0.38 Action=1
Step 2124 | NS=0.00 EW=0.23 Imb=0.38 Action=1
Step 2125 | NS=0.00 EW=0.23 Imb=0.38 Action=1
Step 2126 | NS=0.00 EW=0.22 Imb=0.39 Action=1
Step 2127 | NS=0.00 EW=0.22 Imb=0.39 Action=1
Step 2128 | NS=0.00 EW=0.20 Imb=0.40 Action=1
Step 2129 | NS=0.00 EW=0.17 Imb=0.42 Action=1
Step 2130 | NS=0.02 EW=0.13 Imb=0.44 Action=1
Step 2131 | NS=0.02 EW=0.12 Imb=0.45 Action=1
Step 2132 | NS=0.02 EW=0.08 Imb=0.47 Action=1
Step 2133 | NS=0.02 EW=0.05 Imb=0.48 Action=0
Step 2134 | NS=0.02 EW=0.02 Imb=0.50 Action=0
Step 2135 | NS=0.02 EW=0.00 Imb=0.51 Action=0
Step 2136 | NS=0.00 EW=0.03 Imb=0.48 Action=0
Step 2137 | NS=0.00 EW=0.05 Imb=0.47 Action=0
Step 2138 | NS=0.00 EW=0.07 Imb=0.47 Action=0
Step 2139 | NS=0.00 EW=0.07 Imb=0.47 Action=0
Step 2140 | NS=0.00 EW=0.10 Imb=0.45 Action=1
Step 2141 | NS=0.00 EW=0.10 Imb=0.45 Action=1
Step 2142 | NS=0.00 EW=0.13 Imb=0.43 Action=1
Step 2143 | NS=0.00 EW=0.15 Imb=0.43 Action=1
Step 2144 | NS=0.00 EW=0.15 Imb=0.43 Action=1
Step 2145 | NS=0.00 EW=0.20 Imb=0.40 Action=1
Step 2146 | NS=0.00 EW=0.22 Imb=0.39 Action=1
Step 2147 | NS=0.00 EW=0.23 Imb=0.38 Action=1
Step 2148 | NS=0.00 EW=0.25 Imb=0.38 Action=1
Step 2149 | NS=0.00 EW=0.25 Imb=0.38 Action=1
Step 2150 | NS=0.00 EW=0.23 Imb=0.38 Action=1
Step 2151 | NS=0.00 EW=0.25 Imb=0.38 Action=1
Step 2152 | NS=0.00 EW=0.22 Imb=0.39 Action=1
Step 2153 | NS=0.00 EW=0.22 Imb=0.39 Action=1
Step 2154 | NS=0.00 EW=0.20 Imb=0.40 Action=1
Step 2155 | NS=0.00 EW=0.17 Imb=0.42 Action=1
Step 2156 | NS=0.00 EW=0.13 Imb=0.43 Action=1
Step 2157 | NS=0.00 EW=0.10 Imb=0.45 Action=1
Step 2158 | NS=0.02 EW=0.07 Imb=0.47 Action=1
Step 2159 | NS=0.02 EW=0.03 Imb=0.49 Action=0
Step 2160 | NS=0.02 EW=0.02 Imb=0.50 Action=0
Step 2161 | NS=0.03 EW=0.02 Imb=0.51 Action=0
Step 2162 | NS=0.00 EW=0.05 Imb=0.47 Action=0
Step 2163 | NS=0.00 EW=0.05 Imb=0.47 Action=0
Step 2164 | NS=0.00 EW=0.07 Imb=0.47 Action=0
Step 2165 | NS=0.00 EW=0.08 Imb=0.46 Action=1
Step 2166 | NS=0.00 EW=0.08 Imb=0.46 Action=1
Step 2167 | NS=0.00 EW=0.12 Imb=0.44 Action=1
Step 2168 | NS=0.00 EW=0.13 Imb=0.43 Action=1
Step 2169 | NS=0.00 EW=0.15 Imb=0.43 Action=1
Step 2170 | NS=0.00 EW=0.17 Imb=0.42 Action=1
Step 2171 | NS=0.00 EW=0.18 Imb=0.41 Action=1
Step 2172 | NS=0.00 EW=0.22 Imb=0.39 Action=1
Step 2173 | NS=0.00 EW=0.22 Imb=0.39 Action=1
Step 2174 | NS=0.00 EW=0.23 Imb=0.38 Action=1
Step 2175 | NS=0.00 EW=0.23 Imb=0.38 Action=1
Step 2176 | NS=0.00 EW=0.22 Imb=0.39 Action=1
Step 2177 | NS=0.00 EW=0.20 Imb=0.40 Action=1
Step 2178 | NS=0.00 EW=0.20 Imb=0.40 Action=1
Step 2179 | NS=0.00 EW=0.20 Imb=0.40 Action=1
Step 2180 | NS=0.00 EW=0.20 Imb=0.40 Action=1
Step 2181 | NS=0.00 EW=0.17 Imb=0.42 Action=1
Step 2182 | NS=0.02 EW=0.13 Imb=0.44 Action=1
Step 2183 | NS=0.02 EW=0.10 Imb=0.46 Action=1
Step 2184 | NS=0.02 EW=0.07 Imb=0.47 Action=1
Step 2185 | NS=0.02 EW=0.05 Imb=0.48 Action=0
Step 2186 | NS=0.03 EW=0.03 Imb=0.50 Action=0
Step 2187 | NS=0.03 EW=0.02 Imb=0.51 Action=0
Step 2188 | NS=0.00 EW=0.03 Imb=0.48 Action=0
Step 2189 | NS=0.00 EW=0.05 Imb=0.47 Action=0
Step 2190 | NS=0.00 EW=0.07 Imb=0.47 Action=0
Step 2191 | NS=0.00 EW=0.08 Imb=0.46 Action=1
Step 2192 | NS=0.00 EW=0.10 Imb=0.45 Action=1
Step 2193 | NS=0.00 EW=0.13 Imb=0.43 Action=1
Step 2194 | NS=0.00 EW=0.15 Imb=0.43 Action=1
Step 2195 | NS=0.00 EW=0.15 Imb=0.43 Action=1
Step 2196 | NS=0.00 EW=0.18 Imb=0.41 Action=1
Step 2197 | NS=0.00 EW=0.20 Imb=0.40 Action=1
Step 2198 | NS=0.00 EW=0.22 Imb=0.39 Action=1
Step 2199 | NS=0.00 EW=0.27 Imb=0.37 Action=1
Step 2200 | NS=0.00 EW=0.25 Imb=0.38 Action=1
Step 2201 | NS=0.00 EW=0.25 Imb=0.38 Action=1
Step 2202 | NS=0.00 EW=0.23 Imb=0.38 Action=1
Step 2203 | NS=0.00 EW=0.22 Imb=0.39 Action=1
Step 2204 | NS=0.00 EW=0.22 Imb=0.39 Action=1
Step 2205 | NS=0.00 EW=0.20 Imb=0.40 Action=1
Step 2206 | NS=0.02 EW=0.18 Imb=0.42 Action=1
Step 2207 | NS=0.02 EW=0.15 Imb=0.43 Action=1
Step 2208 | NS=0.02 EW=0.13 Imb=0.44 Action=1
Step 2209 | NS=0.02 EW=0.10 Imb=0.46 Action=1
Step 2210 | NS=0.02 EW=0.07 Imb=0.47 Action=1
Step 2211 | NS=0.02 EW=0.07 Imb=0.47 Action=0
Step 2212 | NS=0.02 EW=0.03 Imb=0.49 Action=0
Step 2213 | NS=0.03 EW=0.02 Imb=0.51 Action=0
Step 2214 | NS=0.00 EW=0.03 Imb=0.48 Action=0
Step 2215 | NS=0.00 EW=0.07 Imb=0.47 Action=0
Step 2216 | NS=0.00 EW=0.08 Imb=0.46 Action=1
Step 2217 | NS=0.00 EW=0.10 Imb=0.45 Action=1
Step 2218 | NS=0.00 EW=0.12 Imb=0.44 Action=1
Step 2219 | NS=0.00 EW=0.15 Imb=0.43 Action=1
Step 2220 | NS=0.00 EW=0.15 Imb=0.43 Action=1
Step 2221 | NS=0.00 EW=0.18 Imb=0.41 Action=1
Step 2222 | NS=0.00 EW=0.22 Imb=0.39 Action=1
Step 2223 | NS=0.00 EW=0.23 Imb=0.38 Action=1
Step 2224 | NS=0.00 EW=0.25 Imb=0.38 Action=1
Step 2225 | NS=0.00 EW=0.27 Imb=0.37 Action=1
Step 2226 | NS=0.00 EW=0.28 Imb=0.36 Action=1
Step 2227 | NS=0.00 EW=0.27 Imb=0.37 Action=1
Step 2228 | NS=0.00 EW=0.25 Imb=0.38 Action=1
Step 2229 | NS=0.00 EW=0.23 Imb=0.38 Action=1
Step 2230 | NS=0.00 EW=0.22 Imb=0.39 Action=1
Step 2231 | NS=0.00 EW=0.22 Imb=0.39 Action=1
Step 2232 | NS=0.00 EW=0.20 Imb=0.40 Action=1
Step 2233 | NS=0.00 EW=0.17 Imb=0.42 Action=1
Step 2234 | NS=0.00 EW=0.13 Imb=0.43 Action=1
Step 2235 | NS=0.00 EW=0.10 Imb=0.45 Action=1
Step 2236 | NS=0.00 EW=0.07 Imb=0.47 Action=1
Step 2237 | NS=0.00 EW=0.05 Imb=0.47 Action=0
Step 2238 | NS=0.00 EW=0.03 Imb=0.48 Action=0
Step 2239 | NS=0.02 EW=0.00 Imb=0.51 Action=0
Step 2240 | NS=0.00 EW=0.02 Imb=0.49 Action=0
Step 2241 | NS=0.00 EW=0.03 Imb=0.48 Action=0
Step 2242 | NS=0.00 EW=0.05 Imb=0.47 Action=0
Step 2243 | NS=0.00 EW=0.08 Imb=0.46 Action=1
Step 2244 | NS=0.00 EW=0.10 Imb=0.45 Action=1
Step 2245 | NS=0.00 EW=0.12 Imb=0.44 Action=1
Step 2246 | NS=0.00 EW=0.12 Imb=0.44 Action=1
Step 2247 | NS=0.00 EW=0.13 Imb=0.43 Action=1
Step 2248 | NS=0.00 EW=0.17 Imb=0.42 Action=1
Step 2249 | NS=0.00 EW=0.18 Imb=0.41 Action=1
Step 2250 | NS=0.00 EW=0.20 Imb=0.40 Action=1
Step 2251 | NS=0.00 EW=0.23 Imb=0.38 Action=1
Step 2252 | NS=0.00 EW=0.23 Imb=0.38 Action=1
Step 2253 | NS=0.00 EW=0.25 Imb=0.38 Action=1
Step 2254 | NS=0.00 EW=0.23 Imb=0.38 Action=1
Step 2255 | NS=0.00 EW=0.23 Imb=0.38 Action=1
Step 2256 | NS=0.00 EW=0.20 Imb=0.40 Action=1
Step 2257 | NS=0.00 EW=0.20 Imb=0.40 Action=1
Step 2258 | NS=0.00 EW=0.18 Imb=0.41 Action=1
Step 2259 | NS=0.00 EW=0.17 Imb=0.42 Action=1
Step 2260 | NS=0.00 EW=0.13 Imb=0.43 Action=1
Step 2261 | NS=0.00 EW=0.10 Imb=0.45 Action=1
Step 2262 | NS=0.00 EW=0.07 Imb=0.47 Action=1
Step 2263 | NS=0.00 EW=0.05 Imb=0.47 Action=0
Step 2264 | NS=0.00 EW=0.03 Imb=0.48 Action=0
Step 2265 | NS=0.00 EW=0.02 Imb=0.49 Action=0
Step 2266 | NS=0.00 EW=0.03 Imb=0.48 Action=0
Step 2267 | NS=0.00 EW=0.05 Imb=0.47 Action=0
Step 2268 | NS=0.00 EW=0.08 Imb=0.46 Action=1
Step 2269 | NS=0.00 EW=0.08 Imb=0.46 Action=1
Step 2270 | NS=0.00 EW=0.12 Imb=0.44 Action=1
Step 2271 | NS=0.00 EW=0.15 Imb=0.43 Action=1
Step 2272 | NS=0.00 EW=0.17 Imb=0.42 Action=1
Step 2273 | NS=0.00 EW=0.18 Imb=0.41 Action=1
Step 2274 | NS=0.00 EW=0.20 Imb=0.40 Action=1
Step 2275 | NS=0.00 EW=0.23 Imb=0.38 Action=1
Step 2276 | NS=0.00 EW=0.25 Imb=0.38 Action=1
Step 2277 | NS=0.00 EW=0.27 Imb=0.37 Action=1
Step 2278 | NS=0.00 EW=0.28 Imb=0.36 Action=1
Step 2279 | NS=0.00 EW=0.28 Imb=0.36 Action=1
Step 2280 | NS=0.00 EW=0.27 Imb=0.37 Action=1
Step 2281 | NS=0.00 EW=0.25 Imb=0.38 Action=1
Step 2282 | NS=0.00 EW=0.23 Imb=0.38 Action=1
Step 2283 | NS=0.00 EW=0.23 Imb=0.38 Action=1
Step 2284 | NS=0.00 EW=0.20 Imb=0.40 Action=1
Step 2285 | NS=0.00 EW=0.17 Imb=0.42 Action=1
Step 2286 | NS=0.00 EW=0.13 Imb=0.43 Action=1
Step 2287 | NS=0.00 EW=0.10 Imb=0.45 Action=1
Step 2288 | NS=0.00 EW=0.07 Imb=0.47 Action=1
Step 2289 | NS=0.00 EW=0.03 Imb=0.48 Action=0
Step 2290 | NS=0.00 EW=0.00 Imb=0.50 Action=0
Step 2291 | NS=0.00 EW=0.00 Imb=0.50 Action=0
Step 2292 | NS=0.00 EW=0.03 Imb=0.48 Action=0
Step 2293 | NS=0.00 EW=0.03 Imb=0.48 Action=0
Step 2294 | NS=0.00 EW=0.03 Imb=0.48 Action=0
Step 2295 | NS=0.00 EW=0.05 Imb=0.47 Action=0
Step 2296 | NS=0.00 EW=0.08 Imb=0.46 Action=1
Step 2297 | NS=0.00 EW=0.10 Imb=0.45 Action=1
Step 2298 | NS=0.00 EW=0.13 Imb=0.43 Action=1
Step 2299 | NS=0.00 EW=0.13 Imb=0.43 Action=1
Step 2300 | NS=0.00 EW=0.17 Imb=0.42 Action=1
Step 2301 | NS=0.00 EW=0.18 Imb=0.41 Action=1
Step 2302 | NS=0.00 EW=0.22 Imb=0.39 Action=1
Step 2303 | NS=0.00 EW=0.23 Imb=0.38 Action=1
Step 2304 | NS=0.00 EW=0.23 Imb=0.38 Action=1
