episode,steps,total_reward,n_states,epsilon,alpha
94,3711,-133965.30000000034,21269,0.2415492352145845,0.062426586764353996
95,3697,-134857.2999999998,21310,0.23792599668636571,0.062114453830532226
96,3670,-136535.29999999993,21361,0.23435710673607021,0.061803881561379566
97,3702,-137553.39999999976,21418,0.23084175013502917,0.061494862153572666
98,3667,-134146.90000000005,21487,0.22737912388300371,0.0611873878428048
99,3706,-133026.70000000004,21559,0.22396843702475866,0.060881450903590775
100,3681,-133538.59999999995,21623,0.22060891046938727,0.06057704364907282
101,3706,-133153.4000000001,21682,0.21729977681234647,0.06027415843082746
102,3694,-135476.8,21734,0.21404028016016127,0.05997278763867332
103,3716,-133481.20000000024,21780,0.21082967595775884,0.059672923700479955
104,3683,-134074.69999999998,21826,0.20766723081839245,0.05937455908197756
105,3694,-133603.20000000027,21882,0.20455222235611656,0.05907768628656767
106,3693,-134921.39999999985,21933,0.2014839390207748,0.05878229785513483
107,3746,-135635.50000000032,21972,0.19846167993546318,0.05848838636585915
108,3708,-135504.19999999952,22025,0.19548475473643123,0.05819594443402985
109,3693,-133535.1999999998,22079,0.19255248341538475,0.057904964711859706
110,3656,-132416.60000000015,22125,0.18966419616415398,0.05761543988830041
111,3659,-134118.80000000028,22163,0.18681923322169167,0.05732736268885891
112,3697,-135936.29999999987,22197,0.1840169447233663,0.05704072587541461
113,3659,-135198.90000000002,22241,0.1812566905525158,0.05675552224603753
114,3688,-137972.50000000044,22353,0.17853784019422808,0.05647174463480734
115,3621,-131851.3999999999,22402,0.17585977259131466,0.056189385911633305
116,3675,-135645.00000000067,22441,0.17322187600244493,0.05590843898207514
117,3740,-136800.20000000042,22481,0.17062354786240824,0.05562889678716477
118,3687,-136694.19999999984,22510,0.16806419464447211,0.055350752303228945
119,3679,-131544.30000000034,22551,0.16554323172480503,0.0550739985417128
120,3673,-133137.90000000014,22596,0.16306008324893295,0.05479862854900423
121,3659,-132724.40000000029,22639,0.16061418200019895,0.05452463540625921
122,3693,-135365.20000000036,22685,0.15820496927019595,0.05425201222922791
123,3736,-132273.0999999999,22751,0.155831894731143,0.05398075216808177
124,3752,-136793.80000000008,22797,0.15349441631017585,0.053710848407241364
125,3674,-132658.9999999997,22813,0.15119200006552322,0.053442294165205156
126,3736,-134579.8000000001,22846,0.14892412006454037,0.05317508269437913
127,3672,-131560.79999999984,22886,0.14669025826357227,0.052909207280907235
128,3631,-131097.40000000026,22927,0.14448990438961867,0.0526446612445027
129,3768,-138826.2,23000,0.1423225558237744,0.052381437938280186
130,3739,-134056.80000000025,23039,0.14018771748641778,0.052119530748588785
131,3685,-133101.90000000008,23098,0.13808490172412152,0.05185893309484584
132,3667,-131420.20000000007,23150,0.1360136281982597,0.05159963842937161
133,3633,-132182.80000000005,23179,0.13397342377528582,0.051341640237224755
134,3747,-133179.80000000013,23233,0.13196382241865653,0.05108493203603863
135,3715,-133635.39999999962,23263,0.12998436508237668,0.05082950737585844
136,3766,-138830.59999999963,23347,0.12803459960614103,0.05057535983897914
137,3730,-135689.6999999999,23388,0.1261140806120489,0.050322483039784247
138,3690,-134642.10000000027,23432,0.12422236940286817,0.050070870624585324
139,3683,-132990.99999999983,23487,0.12235903386182514,0.049820516271462396
140,3648,-132035.80000000022,23509,0.12052364835389777,0.049571413690105086
141,3736,-134336.7999999995,23550,0.1187157936285893,0.04932355662165456
142,3741,-135569.1999999999,23595,0.11693505672416046,0.04907693883854629
143,3672,-131715.39999999985,23631,0.11518103087329805,0.048831554144353556
144,3676,-136874.2000000001,23662,0.11345331541019858,0.04858739637363179
145,3749,-134998.79999999993,23684,0.11175151567904561,0.04834445939176363
146,3688,-137969.10000000012,23724,0.11007524294385992,0.04810273709480481
147,3662,-132186.00000000006,23764,0.10842411429970203,0.04786222340933079
148,3727,-135135.9,23791,0.1067977525852065,0.04762291229228413
149,3674,-134363.99999999985,23835,0.10519578629642841,0.04738479773082271
150,3688,-133282.30000000022,23869,0.10361784950198198,0.04714787374216859
151,3705,-135050.20000000033,23907,0.10206358175945225,0.046912134373457745
152,3671,-135931.80000000005,23950,0.10053262803306047,0.04667757370159046
153,3685,-132386.10000000036,23982,0.09902463861256457,0.046444185833082505
154,3679,-133103.80000000005,24004,0.09753926903337609,0.046211964903917095
155,3656,-133226.80000000025,24034,0.09607617999787545,0.04598090507939751
156,3697,-134607.6000000002,24063,0.09463503729790732,0.045751000554000526
157,3642,-130402.30000000024,24098,0.0932155117384387,0.04552224555123052
158,3695,-135286.60000000006,24142,0.09181727906236212,0.04529463432347437
159,3725,-135848.40000000002,24175,0.09044001987642668,0.045068161151857
160,3676,-132801.4,24213,0.08908341957828028,0.04484282034609772
161,3665,-133484.0000000001,24241,0.08774716828460608,0.04461860624436723
162,3681,-133483.7999999999,24262,0.08643096076033699,0.044395513213145395
163,3693,-134732.39999999988,24287,0.08513449634893193,0.04417353564707967
164,3667,-133809.5,24318,0.08385747890369795,0.04395266796884427
165,3681,-133424.20000000033,24341,0.08259961672014247,0.04373290462900005
166,3774,-136803.60000000038,24376,0.08136062246934034,0.04351424010585505
167,3720,-134711.50000000017,24402,0.08014021313230023,0.043296668905325776
168,3688,-131952.19999999995,24425,0.07893810993531572,0.04308018556079915
169,3701,-134356.6000000001,24447,0.07775403828628598,0.04286478463299515
170,3698,-134331.30000000013,24482,0.07658772771199168,0.042650460709830175
171,3691,-134733.99999999974,24516,0.0754389117963118,0.04243720840628103
172,3713,-132799.6,24544,0.07430732811936713,0.042225022364249624
173,3707,-136693.00000000058,24568,0.07319271819757663,0.04201389725242838
174,3690,-133885.80000000008,24593,0.07209482742461297,0.041803827766166236
175,3679,-132538.4,24620,0.07101340501324377,0.0415948086273354
176,3749,-136478.20000000027,24696,0.06994820393804511,0.04138683458419873
177,3726,-139137.7999999999,24721,0.06889898087897443,0.04117990041127773
178,3683,-132669.00000000032,24753,0.06786549616578981,0.04097400090922134
179,3678,-133042.6000000001,24774,0.06684751372330296,0.04076913090467523
180,3647,-130178.6000000001,24809,0.06584480101745341,0.04056528525015186
181,3675,-132520.9000000002,24844,0.06485712900219161,0.0403624588239011
182,3703,-135140.2,24879,0.06388427206715873,0.04016064652978159
183,3709,-133703.50000000032,24939,0.06292600798615135,0.03995984329713268
184,3688,-134424.8000000001,24958,0.06198211786635908,0.03976004408064702
185,3669,-133416.79999999978,24988,0.06105238609836369,0.03956124386024378
186,3707,-136884.99999999988,25016,0.060136600306888235,0.039363437640942564
187,3687,-133570.8000000003,25046,0.05923455130228491,0.03916662045273785
188,3640,-130799.0000000004,25075,0.058346033032750634,0.03897078735047416
189,3658,-132309.00000000023,25095,0.05747084253725938,0.03877593341372179
190,3635,-133339.60000000036,25126,0.05660877989920048,0.03858205374665318
191,3658,-129185.59999999993,25158,0.055759648200712476,0.03838914347791991
192,3687,-135708.4000000002,25179,0.054923253477701786,0.038197197760530315
193,3697,-133958.80000000002,25200,0.054099404675536256,0.038006211771727666
194,3732,-135197.99999999985,25222,0.05328791360540321,0.037816180712869026
195,3677,-132440.8000000006,25252,0.05248859490132216,0.03762709980930468
196,3706,-137421.79999999996,25278,0.05170126597780233,0.03743896431025816
197,3693,-134057.59999999986,25312,0.05092574698813529,0.037251769488706864
198,3725,-134779.79999999993,25339,0.05016186078331326,0.03706551064126333
199,3728,-136483.4000000003,25367,0.05,0.03688018308805701
200,3699,-135710.20000000007,25389,0.05,0.03669578217261672
201,3672,-134567.19999999987,25406,0.05,0.036512303261753636
202,3701,-133996.9999999997,25418,0.05,0.036329741745444864
203,3701,-132136.80000000013,25437,0.05,0.03614809303671764
204,3663,-134680.59999999992,25461,0.05,0.03596735257153405
205,3728,-136475.3999999999,25489,0.05,0.03578751580867638
206,3662,-130462.79999999986,25551,0.05,0.035608578229633
207,3644,-133039.0000000002,25568,0.05,0.035430535338484836
208,3698,-133317.7999999998,25591,0.05,0.03525338266179241
209,3726,-133786.39999999988,25647,0.05,0.03507711574848345
210,3729,-134475.79999999993,25690,0.05,0.03490173016974103
211,3747,-137824.80000000048,25726,0.05,0.03472722151889233
212,3718,-131824.6,25752,0.05,0.03455358541129787
213,3712,-134003.59999999986,25785,0.05,0.03438081748424138
214,3689,-134811.59999999986,25811,0.05,0.03420891339682017
215,3772,-137403.80000000005,25833,0.05,0.03403786882983607
216,3678,-133143.79999999952,25849,0.05,0.033867679485686884
217,3710,-135034.60000000012,25884,0.05,0.03369834108825845
218,3673,-134913.0000000005,25908,0.05,0.03352984938281715
