 Retrying in 1 seconds
step 135: q_j1=0.17 a_j1=1 | q_j2=0.18 a_j2=1
step 136: q_j1=0.15 a_j1=1 | q_j2=0.15 a_j2=1
step 137: q_j1=0.10 a_j1=1 | q_j2=0.12 a_j2=1
step 138: q_j1=0.12 a_j1=1 | q_j2=0.12 a_j2=1
step 139: q_j1=0.10 a_j1=1 | q_j2=0.12 a_j2=1
step 140: q_j1=0.07 a_j1=1 | q_j2=0.10 a_j2=0
step 141: q_j1=0.05 a_j1=1 | q_j2=0.07 a_j2=0
step 142: q_j1=0.02 a_j1=1 | q_j2=0.05 a_j2=0
step 143: q_j1=0.03 a_j1=1 | q_j2=0.05 a_j2=1
step 144: q_j1=0.05 a_j1=1 | q_j2=0.03 a_j2=1
step 145: q_j1=0.08 a_j1=1 | q_j2=0.07 a_j2=1
step 146: q_j1=0.10 a_j1=1 | q_j2=0.07 a_j2=1
step 147: q_j1=0.12 a_j1=1 | q_j2=0.08 a_j2=1
step 148: q_j1=0.12 a_j1=1 | q_j2=0.08 a_j2=1
step 149: q_j1=0.15 a_j1=1 | q_j2=0.12 a_j2=1
step 150: q_j1=0.17 a_j1=1 | q_j2=0.13 a_j2=1
step 151: q_j1=0.22 a_j1=1 | q_j2=0.15 a_j2=1
step 152: q_j1=0.22 a_j1=1 | q_j2=0.17 a_j2=1
step 153: q_j1=0.23 a_j1=1 | q_j2=0.20 a_j2=0
step 154: q_j1=0.25 a_j1=1 | q_j2=0.20 a_j2=0
step 155: q_j1=0.28 a_j1=1 | q_j2=0.23 a_j2=0
step 156: q_j1=0.25 a_j1=1 | q_j2=0.22 a_j2=1
step 157: q_j1=0.25 a_j1=1 | q_j2=0.18 a_j2=1
step 158: q_j1=0.23 a_j1=1 | q_j2=0.18 a_j2=1
step 159: q_j1=0.22 a_j1=1 | q_j2=0.17 a_j2=1
step 160: q_j1=0.22 a_j1=1 | q_j2=0.15 a_j2=1
step 161: q_j1=0.20 a_j1=1 | q_j2=0.17 a_j2=1
step 162: q_j1=0.17 a_j1=1 | q_j2=0.17 a_j2=1
step 163: q_j1=0.13 a_j1=1 | q_j2=0.15 a_j2=1
step 164: q_j1=0.10 a_j1=1 | q_j2=0.15 a_j2=1
step 165: q_j1=0.07 a_j1=1 | q_j2=0.17 a_j2=1
step 166: q_j1=0.07 a_j1=1 | q_j2=0.13 a_j2=0
step 167: q_j1=0.03 a_j1=1 | q_j2=0.12 a_j2=0
step 168: q_j1=0.02 a_j1=1 | q_j2=0.08 a_j2=0
step 169: q_j1=0.05 a_j1=1 | q_j2=0.10 a_j2=1
step 170: q_j1=0.05 a_j1=1 | q_j2=0.10 a_j2=1
step 171: q_j1=0.07 a_j1=1 | q_j2=0.10 a_j2=1
step 172: q_j1=0.08 a_j1=1 | q_j2=0.13 a_j2=1
step 173: q_j1=0.10 a_j1=1 | q_j2=0.15 a_j2=1
step 174: q_j1=0.12 a_j1=1 | q_j2=0.17 a_j2=1
step 175: q_j1=0.13 a_j1=1 | q_j2=0.18 a_j2=1
step 176: q_j1=0.15 a_j1=1 | q_j2=0.18 a_j2=1
step 177: q_j1=0.17 a_j1=1 | q_j2=0.23 a_j2=1
step 178: q_j1=0.18 a_j1=1 | q_j2=0.22 a_j2=1
step 179: q_j1=0.20 a_j1=1 | q_j2=0.22 a_j2=0
step 180: q_j1=0.23 a_j1=1 | q_j2=0.23 a_j2=0
step 181: q_j1=0.25 a_j1=1 | q_j2=0.23 a_j2=0
step 182: q_j1=0.25 a_j1=1 | q_j2=0.23 a_j2=1
step 183: q_j1=0.23 a_j1=1 | q_j2=0.23 a_j2=1
step 184: q_j1=0.23 a_j1=1 | q_j2=0.22 a_j2=1
step 185: q_j1=0.22 a_j1=1 | q_j2=0.20 a_j2=1
step 186: q_j1=0.22 a_j1=1 | q_j2=0.20 a_j2=1
step 187: q_j1=0.20 a_j1=1 | q_j2=0.18 a_j2=1
step 188: q_j1=0.17 a_j1=1 | q_j2=0.17 a_j2=1
step 189: q_j1=0.15 a_j1=1 | q_j2=0.15 a_j2=1
step 190: q_j1=0.12 a_j1=1 | q_j2=0.13 a_j2=1
step 191: q_j1=0.08 a_j1=1 | q_j2=0.12 a_j2=1
step 192: q_j1=0.05 a_j1=0 | q_j2=0.10 a_j2=0
step 193: q_j1=0.03 a_j1=0 | q_j2=0.07 a_j2=0
step 194: q_j1=0.03 a_j1=0 | q_j2=0.03 a_j2=0
step 195: q_j1=0.02 a_j1=1 | q_j2=0.03 a_j2=1
step 196: q_j1=0.03 a_j1=1 | q_j2=0.03 a_j2=1
step 197: q_j1=0.07 a_j1=1 | q_j2=0.05 a_j2=1
step 198: q_j1=0.07 a_j1=1 | q_j2=0.08 a_j2=1
step 199: q_j1=0.08 a_j1=1 | q_j2=0.10 a_j2=1
step 200: q_j1=0.12 a_j1=1 | q_j2=0.12 a_j2=1
step 201: q_j1=0.13 a_j1=1 | q_j2=0.13 a_j2=1
step 202: q_j1=0.17 a_j1=1 | q_j2=0.13 a_j2=1
step 203: q_j1=0.18 a_j1=1 | q_j2=0.17 a_j2=1
step 204: q_j1=0.22 a_j1=1 | q_j2=0.18 a_j2=1
step 205: q_j1=0.22 a_j1=1 | q_j2=0.20 a_j2=0
step 206: q_j1=0.25 a_j1=1 | q_j2=0.22 a_j2=0
step 207: q_j1=0.27 a_j1=1 | q_j2=0.25 a_j2=0
step 208: q_j1=0.27 a_j1=1 | q_j2=0.23 a_j2=1
step 209: q_j1=0.27 a_j1=1 | q_j2=0.23 a_j2=1
step 210: q_j1=0.22 a_j1=1 | q_j2=0.22 a_j2=1
step 211: q_j1=0.22 a_j1=1 | q_j2=0.20 a_j2=1
step 212: q_j1=0.20 a_j1=1 | q_j2=0.18 a_j2=1
step 213: q_j1=0.20 a_j1=1 | q_j2=0.20 a_j2=1
step 214: q_j1=0.17 a_j1=1 | q_j2=0.18 a_j2=1
step 215: q_j1=0.15 a_j1=1 | q_j2=0.15 a_j2=1
step 216: q_j1=0.13 a_j1=1 | q_j2=0.13 a_j2=1
step 217: q_j1=0.12 a_j1=1 | q_j2=0.12 a_j2=1
step 218: q_j1=0.10 a_j1=0 | q_j2=0.10 a_j2=0
step 219: q_j1=0.08 a_j1=1 | q_j2=0.07 a_j2=0
step 220: q_j1=0.05 a_j1=1 | q_j2=0.05 a_j2=0
step 221: q_j1=0.05 a_j1=1 | q_j2=0.05 a_j2=1
step 222: q_j1=0.05 a_j1=1 | q_j2=0.07 a_j2=1
step 223: q_j1=0.05 a_j1=1 | q_j2=0.08 a_j2=1
step 224: q_j1=0.10 a_j1=1 | q_j2=0.12 a_j2=1
step 225: q_j1=0.10 a_j1=1 | q_j2=0.10 a_j2=1
step 226: q_j1=0.10 a_j1=1 | q_j2=0.13 a_j2=1
step 227: q_j1=0.12 a_j1=1 | q_j2=0.15 a_j2=1
step 228: q_j1=0.15 a_j1=1 | q_j2=0.17 a_j2=1
step 229: q_j1=0.17 a_j1=1 | q_j2=0.20 a_j2=1
step 230: q_j1=0.17 a_j1=1 | q_j2=0.23 a_j2=1
step 231: q_j1=0.20 a_j1=1 | q_j2=0.23 a_j2=0
step 232: q_j1=0.23 a_j1=1 | q_j2=0.25 a_j2=0
step 233: q_j1=0.23 a_j1=1 | q_j2=0.28 a_j2=0
step 234: q_j1=0.22 a_j1=1 | q_j2=0.25 a_j2=1
step 235: q_j1=0.22 a_j1=1 | q_j2=0.25 a_j2=1
step 236: q_j1=0.18 a_j1=1 | q_j2=0.22 a_j2=1
step 237: q_j1=0.18 a_j1=1 | q_j2=0.22 a_j2=1
step 238: q_j1=0.20 a_j1=1 | q_j2=0.22 a_j2=1
step 239: q_j1=0.20 a_j1=1 | q_j2=0.18 a_j2=1
step 240: q_j1=0.20 a_j1=1 | q_j2=0.18 a_j2=1
step 241: q_j1=0.17 a_j1=1 | q_j2=0.15 a_j2=1
step 242: q_j1=0.15 a_j1=1 | q_j2=0.12 a_j2=1
step 243: q_j1=0.13 a_j1=1 | q_j2=0.10 a_j2=1
step 244: q_j1=0.12 a_j1=1 | q_j2=0.08 a_j2=0
step 245: q_j1=0.08 a_j1=1 | q_j2=0.07 a_j2=0
step 246: q_j1=0.05 a_j1=1 | q_j2=0.03 a_j2=0
step 247: q_j1=0.07 a_j1=1 | q_j2=0.03 a_j2=1
step 248: q_j1=0.08 a_j1=1 | q_j2=0.05 a_j2=1
step 249: q_j1=0.10 a_j1=1 | q_j2=0.08 a_j2=1
step 250: q_j1=0.13 a_j1=1 | q_j2=0.08 a_j2=1
step 251: q_j1=0.13 a_j1=1 | q_j2=0.10 a_j2=1
step 252: q_j1=0.17 a_j1=1 | q_j2=0.13 a_j2=1
step 253: q_j1=0.15 a_j1=1 | q_j2=0.15 a_j2=1
step 254: q_j1=0.17 a_j1=1 | q_j2=0.17 a_j2=1
step 255: q_j1=0.22 a_j1=1 | q_j2=0.17 a_j2=1
step 256: q_j1=0.22 a_j1=1 | q_j2=0.20 a_j2=1
step 257: q_j1=0.23 a_j1=1 | q_j2=0.22 a_j2=0
step 258: q_j1=0.25 a_j1=1 | q_j2=0.20 a_j2=0
step 259: q_j1=0.25 a_j1=1 | q_j2=0.23 a_j2=0
step 260: q_j1=0.25 a_j1=1 | q_j2=0.23 a_j2=1
step 261: q_j1=0.25 a_j1=1 | q_j2=0.22 a_j2=1
step 262: q_j1=0.25 a_j1=1 | q_j2=0.22 a_j2=1
step 263: q_j1=0.23 a_j1=1 | q_j2=0.20 a_j2=1
step 264: q_j1=0.22 a_j1=1 | q_j2=0.18 a_j2=1
step 265: q_j1=0.20 a_j1=1 | q_j2=0.20 a_j2=1
step 266: q_j1=0.17 a_j1=1 | q_j2=0.20 a_j2=1
step 267: q_j1=0.13 a_j1=1 | q_j2=0.18 a_j2=1
step 268: q_j1=0.12 a_j1=1 | q_j2=0.15 a_j2=1
step 269: q_j1=0.08 a_j1=1 | q_j2=0.13 a_j2=1
step 270: q_j1=0.07 a_j1=1 | q_j2=0.13 a_j2=0
step 271: q_j1=0.03 a_j1=1 | q_j2=0.10 a_j2=0
step 272: q_j1=0.02 a_j1=1 | q_j2=0.07 a_j2=0
step 273: q_j1=0.00 a_j1=1 | q_j2=0.07 a_j2=1
step 274: q_j1=0.02 a_j1=1 | q_j2=0.07 a_j2=1
step 275: q_j1=0.02 a_j1=1 | q_j2=0.12 a_j2=1
step 276: q_j1=0.03 a_j1=1 | q_j2=0.12 a_j2=1
step 277: q_j1=0.05 a_j1=1 | q_j2=0.12 a_j2=1
step 278: q_j1=0.08 a_j1=1 | q_j2=0.13 a_j2=1
step 279: q_j1=0.12 a_j1=1 | q_j2=0.15 a_j2=1
step 280: q_j1=0.12 a_j1=1 | q_j2=0.17 a_j2=1
step 281: q_j1=0.15 a_j1=1 | q_j2=0.18 a_j2=1
step 282: q_j1=0.17 a_j1=1 | q_j2=0.20 a_j2=1
step 283: q_j1=0.18 a_j1=1 | q_j2=0.22 a_j2=0
step 284: q_j1=0.20 a_j1=1 | q_j2=0.23 a_j2=0
step 285: q_j1=0.23 a_j1=1 | q_j2=0.23 a_j2=0
step 286: q_j1=0.23 a_j1=1 | q_j2=0.23 a_j2=1
step 287: q_j1=0.20 a_j1=1 | q_j2=0.20 a_j2=1
step 288: q_j1=0.20 a_j1=1 | q_j2=0.18 a_j2=1
step 289: q_j1=0.18 a_j1=1 | q_j2=0.18 a_j2=1
step 290: q_j1=0.18 a_j1=1 | q_j2=0.20 a_j2=1
step 291: q_j1=0.15 a_j1=1 | q_j2=0.20 a_j2=1
step 292: q_j1=0.13 a_j1=1 | q_j2=0.17 a_j2=1
step 293: q_j1=0.17 a_j1=1 | q_j2=0.17 a_j2=1
step 294: q_j1=0.15 a_j1=1 | q_j2=0.15 a_j2=1
step 295: q_j1=0.12 a_j1=1 | q_j2=0.15 a_j2=1
step 296: q_j1=0.12 a_j1=1 | q_j2=0.13 a_j2=0
step 297: q_j1=0.08 a_j1=1 | q_j2=0.08 a_j2=0
step 298: q_j1=0.03 a_j1=1 | q_j2=0.07 a_j2=0
step 299: q_j1=0.03 a_j1=1 | q_j2=0.05 a_j2=1
step 300: q_j1=0.07 a_j1=1 | q_j2=0.08 a_j2=1
step 301: q_j1=0.07 a_j1=1 | q_j2=0.08 a_j2=1
step 302: q_j1=0.10 a_j1=1 | q_j2=0.12 a_j2=1
step 303: q_j1=0.08 a_j1=1 | q_j2=0.12 a_j2=1
step 304: q_j1=0.12 a_j1=1 | q_j2=0.13 a_j2=1
step 305: q_j1=0.12 a_j1=1 | q_j2=0.15 a_j2=1
step 306: q_j1=0.15 a_j1=1 | q_j2=0.17 a_j2=1
step 307: q_j1=0.17 a_j1=1 | q_j2=0.20 a_j2=1
step 308: q_j1=0.20 a_j1=1 | q_j2=0.22 a_j2=1
step 309: q_j1=0.22 a_j1=1 | q_j2=0.25 a_j2=0
step 310: q_j1=0.23 a_j1=1 | q_j2=0.27 a_j2=0
step 311: q_j1=0.25 a_j1=1 | q_j2=0.28 a_j2=0
step 312: q_j1=0.22 a_j1=1 | q_j2=0.25 a_j2=1
step 313: q_j1=0.22 a_j1=1 | q_j2=0.25 a_j2=1
step 314: q_j1=0.22 a_j1=1 | q_j2=0.23 a_j2=1
step 315: q_j1=0.20 a_j1=1 | q_j2=0.23 a_j2=1
step 316: q_j1=0.18 a_j1=1 | q_j2=0.22 a_j2=1
step 317: q_j1=0.20 a_j1=1 | q_j2=0.20 a_j2=1
step 318: q_j1=0.18 a_j1=1 | q_j2=0.17 a_j2=1
step 319: q_j1=0.18 a_j1=1 | q_j2=0.13 a_j2=1
step 320: q_j1=0.15 a_j1=1 | q_j2=0.10 a_j2=1
step 321: q_j1=0.15 a_j1=1 | q_j2=0.07 a_j2=1
step 322: q_j1=0.12 a_j1=1 | q_j2=0.03 a_j2=0
step 323: q_j1=0.08 a_j1=1 | q_j2=0.02 a_j2=0
step 324: q_j1=0.03 a_j1=1 | q_j2=0.02 a_j2=0
step 325: q_j1=0.05 a_j1=1 | q_j2=0.02 a_j2=1
step 326: q_j1=0.05 a_j1=1 | q_j2=0.02 a_j2=1
step 327: q_j1=0.03 a_j1=1 | q_j2=0.05 a_j2=1
step 328: q_j1=0.07 a_j1=1 | q_j2=0.05 a_j2=1
step 329: q_j1=0.07 a_j1=1 | q_j2=0.10 a_j2=1
step 330: q_j1=0.12 a_j1=1 | q_j2=0.10 a_j2=1
step 331: q_j1=0.13 a_j1=1 | q_j2=0.13 a_j2=1
step 332: q_j1=0.15 a_j1=1 | q_j2=0.17 a_j2=1
step 333: q_j1=0.17 a_j1=1 | q_j2=0.18 a_j2=1
step 334: q_j1=0.20 a_j1=1 | q_j2=0.20 a_j2=1
step 335: q_j1=0.22 a_j1=1 | q_j2=0.22 a_j2=0
step 336: q_j1=0.23 a_j1=1 | q_j2=0.23 a_j2=0
step 337: q_j1=0.27 a_j1=1 | q_j2=0.25 a_j2=0
step 338: q_j1=0.25 a_j1=1 | q_j2=0.25 a_j2=1
step 339: q_j1=0.25 a_j1=1 | q_j2=0.25 a_j2=1
step 340: q_j1=0.20 a_j1=1 | q_j2=0.23 a_j2=1
step 341: q_j1=0.23 a_j1=1 | q_j2=0.22 a_j2=1
step 342: q_j1=0.18 a_j1=1 | q_j2=0.20 a_j2=1
step 343: q_j1=0.18 a_j1=1 | q_j2=0.18 a_j2=1
step 344: q_j1=0.17 a_j1=1 | q_j2=0.17 a_j2=1
step 345: q_j1=0.13 a_j1=1 | q_j2=0.13 a_j2=1
step 346: q_j1=0.10 a_j1=1 | q_j2=0.10 a_j2=1
step 347: q_j1=0.08 a_j1=1 | q_j2=0.10 a_j2=1
step 348: q_j1=0.07 a_j1=1 | q_j2=0.08 a_j2=0
step 349: q_j1=0.03 a_j1=1 | q_j2=0.05 a_j2=0
step 350: q_j1=0.00 a_j1=1 | q_j2=0.03 a_j2=0
step 351: q_j1=0.00 a_j1=1 | q_j2=0.03 a_j2=1
step 352: q_j1=0.02 a_j1=1 | q_j2=0.07 a_j2=1
step 353: q_j1=0.03 a_j1=1 | q_j2=0.08 a_j2=1
step 354: q_j1=0.07 a_j1=1 | q_j2=0.10 a_j2=1
step 355: q_j1=0.07 a_j1=1 | q_j2=0.12 a_j2=1
step 356: q_j1=0.10 a_j1=1 | q_j2=0.13 a_j2=1
step 357: q_j1=0.10 a_j1=1 | q_j2=0.15 a_j2=1
step 358: q_j1=0.15 a_j1=1 | q_j2=0.18 a_j2=1
step 359: q_j1=0.18 a_j1=1 | q_j2=0.18 a_j2=1
step 360: q_j1=0.18 a_j1=1 | q_j2=0.22 a_j2=1
step 361: q_j1=0.20 a_j1=1 | q_j2=0.23 a_j2=1
step 362: q_j1=0.22 a_j1=1 | q_j2=0.27 a_j2=1
step 363: q_j1=0.25 a_j1=1 | q_j2=0.27 a_j2=0
step 364: q_j1=0.23 a_j1=1 | q_j2=0.27 a_j2=1
step 365: q_j1=0.20 a_j1=1 | q_j2=0.25 a_j2=1
step 366: q_j1=0.20 a_j1=1 | q_j2=0.25 a_j2=1
step 367: q_j1=0.18 a_j1=1 | q_j2=0.23 a_j2=1
step 368: q_j1=0.17 a_j1=1 | q_j2=0.22 a_j2=1
step 369: q_j1=0.17 a_j1=1 | q_j2=0.20 a_j2=1
step 370: q_j1=0.20 a_j1=1 | q_j2=0.20 a_j2=1
step 371: q_j1=0.17 a_j1=1 | q_j2=0.17 a_j2=1
